日向和田,石神前,1
石神前,二俣尾,1.2
二俣尾,軍畑,0.9
軍畑,沢井,1.4
沢井,御嶽,1.3
御嶽,川井,2.8
川井,古里,1.6
古里,鳩ノ巣,2.2
鳩ノ巣,白丸,1.4
白丸,奥多摩,2
西立川,立川,1.9
東中神,西立川,0.8
中神,東中神,0.9
昭島,中神,1.4
拝島,昭島,1.9
牛浜,拝島,1.7
福生,牛浜,1
羽村,福生,2.1
小作,羽村,2.4
河辺,小作,1.8
東青梅,河辺,1.3
青梅,東青梅,1.3
宮ノ平,青梅,2.1
日向和田,宮ノ平,0.8
石神前,日向和田,1
二俣尾,石神前,1.2
軍畑,二俣尾,0.9
沢井,軍畑,1.4
御嶽,沢井,1.3
川井,御嶽,2.8
古里,川井,1.6
鳩ノ巣,古里,2.2
白丸,鳩ノ巣,1.4
奥多摩,白丸,2
